publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3767959,earthquake,2010-09-03T18:02:31.519Z,2013-07-16T14:52:00.000Z,172.31593,-43.56948,3.533,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,3,8,0.223,200,0.46189,0.262,12.81564618
3366187,earthquake,2010-09-03T18:04:07.175Z,2013-07-16T14:04:00.000Z,172.52415,-43.55025,4.083,21.0848,ML,,GROPE,reviewed,,nz1dr,30,18,45,0.038,72,0.16882,0.254,28.82576854
3366188,earthquake,2010-09-03T18:07:12.877Z,2013-07-16T14:04:00.000Z,172.43193,-43.57899,3.901,15.5539,ML,,GROPE,reviewed,,nz1dr,20,14,11,0.04,140,0.0893,0.329,22.0365917
3768604,earthquake,2010-09-03T18:08:33.911Z,2013-07-16T14:52:00.000Z,172.16052,-43.58697,3.498,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,6,11,0.274,151,0.14396,0.165,6.660779996
3768584,earthquake,2010-09-03T18:09:19.285Z,2013-07-16T14:52:00.000Z,172.0088,-43.55745,4.131,6.6973,ML,,GROPE,reviewed,,nz1dr,25,15,18,0.039,129,0.28289,0.274,13.25749219
3768597,earthquake,2010-09-03T18:09:36.089Z,2013-07-16T14:52:00.000Z,172.12166,-43.60501,3.996,8.464,ML,,GROPE,reviewed,,nz1dr,16,9,10,0.114,237,0.19675,0.22,9.410130519
3768610,earthquake,2010-09-03T18:10:08.672Z,2013-07-16T14:52:00.000Z,172.0986,-43.51294,3.86,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,4,10,0.191,231,0.12657,0.249,5.814808475
3768616,earthquake,2010-09-03T18:10:16.229Z,2013-07-16T14:52:00.000Z,172.19545,-43.54142,3.938,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,6,10,0.243,141,0.31023,0.196,2.716532703
3768617,earthquake,2010-09-03T18:11:18.848Z,2013-07-16T14:52:00.000Z,172.1881,-43.5922,3.432,5,ML,operator assigned,GROPE,reviewed,,nz1dr,13,6,11,0.286,152,0.29768,0.129,7.396039949
3769062,earthquake,2010-09-03T18:12:53.573Z,2013-07-16T14:52:00.000Z,172.00301,-43.51379,3.141,12,ML,operator assigned,GROPE,reviewed,,nz1dr,11,5,11,0.188,140,0.39293,0.138,13.38309062
3769077,earthquake,2010-09-03T18:13:32.855Z,2013-07-16T14:52:00.000Z,171.94992,-43.47793,3.341,10.5874,ML,,GROPE,reviewed,,nz1dr,11,5,7,0.163,136,0.34575,0.201,18.42160989
3366191,earthquake,2010-09-03T18:15:25.744Z,2013-07-16T14:04:00.000Z,172.19292,-43.59906,4.132,5,ML,operator assigned,GROPE,reviewed,,nz1dr,20,13,30,0.126,154,0.10342,0.223,8.228202279
3769164,earthquake,2010-09-03T18:16:19.036Z,2013-07-16T14:52:00.000Z,172.15111,-43.49399,3.959,7.6852,ML,,GROPE,reviewed,,nz1dr,15,7,26,0.036,133,0.21913,0.263,3.945785004
3769188,earthquake,2010-09-03T18:17:59.040Z,2013-07-16T14:52:00.000Z,171.95787,-43.52837,4.274,17.3945,ML,,GROPE,reviewed,,nz1dr,12,5,10,0.111,183,0.1261,0.215,16.93640637
3769220,earthquake,2010-09-03T18:18:03.572Z,2013-07-16T14:52:00.000Z,172.41998,-43.65785,4.208,8.3737,ML,,GROPE,reviewed,,nz1dr,28,17,20,0.048,199,0.13206,0.252,24.95390561
3771017,earthquake,2010-09-03T18:18:34.417Z,2013-07-16T14:52:00.000Z,172.64563,-43.62341,4.008,19.0038,ML,,GROPE,reviewed,,nz1dr,11,5,10,0.05,188,0.1171,0.195,39.93742161
3771022,earthquake,2010-09-03T18:18:48.399Z,2013-07-16T14:52:00.000Z,172.3681,-43.65718,4.116,5,ML,operator assigned,GROPE,reviewed,,nz1dr,12,6,11,0.202,207,0.10762,0.181,21.64224694
3771483,earthquake,2010-09-03T18:20:46.427Z,2013-07-16T14:52:00.000Z,172.34909,-43.64157,3.445,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,5,0.209,158,0.24408,0.278,19.34708399
